B3F,FlwTulip_White
B4B,FlwTulip_Pink
B4F,FlwTulip_Orange
B43,FlwTulip_Red
B47,FlwTulip_Yellow
B53,FlwTulip_Purple
B57,FlwTulip_Black

B5F,FlwPansy_Red
B5B,FlwPansy_White
B6B,FlwPansy_Purple
B6F,FlwPansy_Blue
B63,FlwPansy_Yellow
B67,FlwPansy_Orange

B2F,FlwCosmos_Yellow
B3B,FlwCosmos_Black
B33,FlwCosmos_Pink
B37,FlwCosmos_Orange
901,FlwCosmos_White
900,FlwCosmos_Red

B8B,FlwRose_Black
B7F,FlwRose_Pink
B7B,FlwRose_Yellow
B73,FlwRose_White
B77,FlwRose_Red
B83,FlwRose_Orange
B87,FlwRose_Purple
B8F,FlwRose_Blue

BA3,FlwLily_White
BA7,FlwLily_Red
BAB,FlwLily_Yellow
BAF,FlwLily_Pink
BB3,FlwLily_Orange
BB7,FlwLily_Black

E7D,FlwAnemone_White
E8B,FlwAnemone_Red
E8F,FlwAnemone_Purple
E81,FlwAnemone_Orange
E85,FlwAnemone_Blue
E88,FlwAnemone_Pink

1437,FlwMum_Green
EAA,FlwMum_White
EAE,FlwMum_Yellow
EB2,FlwMum_Purple
EB5,FlwMum_Pink
EB8,FlwMum_Red

E9A,FlwHyacinth_Pink
E9D,FlwHyacinth_Orange
E92,FlwHyacinth_White
E96,FlwHyacinth_Yellow
EA0,FlwHyacinth_Red
EA4,FlwHyacinth_Blue
EA7,FlwHyacinth_Purple






